,序号,ID,姓名,所属公司ID,所属公司,基金ID,现任基金,累计从业时间,现任基金资产总规模,现任基金最佳回报
98,99,30616472,崔蕾,80000220,南方基金,"002906,002907,004432,004433,008163,008164,009079,009080,010990,011860,011861,013298,013299,159728,159780,159984,512100,512400,513800,515450,560100","南方中证500量化增强A,南方中证500量化增强C,南方有色金属ETF联接A,南方有色金属ETF联接C,南方大盘红利50ETF联接A,南方大盘红利50ETF联接C,南方粤港澳大湾区ETF联接A,南方粤港澳大湾区ETF联接C,南方有色金属ETF联接E,南方中证1000联接A,南方中证1000联接C,南方中证科创创业50ETF联接A,南方中证科创创业50ETF联接C,南方国证在线消费ETF,南方中证科创创业50ETF,南方粤港澳大湾区ETF,南方中证1000ETF,南方中证申万有色金属ETF,南方顶峰TOPIX-ETF,南方中国A股大盘红利低波50ETF,南方中证500增强策略ETF",1279,129.1,66.31
99,100,30564992,陈乐,80000220,南方基金,"001183,001334,001503,001504,002220,009351,009352,010074,010075,010444,010445,010881,010882,011064,011065,011746,011747,012399,012400","南方利淘A,南方利鑫A,南方利鑫C,南方利淘C,南方瑞利灵活配置混合,南方誉丰18个月混合A,南方誉丰18个月混合C,南方誉隆一年混合A,南方誉隆一年混合C,南方誉尚一年持有期混合A,南方誉尚一年持有期混合C,南方宝顺混合A,南方宝顺混合C,南方誉享一年持有期混合A,南方誉享一年持有期混合C,南方誉浦一年持有混合A,南方誉浦一年持有混合C,南方永元一年持有债券A,南方永元一年持有债券C",1592,200.31,75.38
100,101,30709147,陈岚,80066470,中信保诚基金,"009730,009731","中信保诚安鑫回报债券A,中信保诚安鑫回报债券C",649,3.39,0.34
101,102,30711580,陈荔,80341238,中融基金,"001413,001414,001739,004008,004009,004836,004837,005142,005143,013684,013685","中融鑫起点混合A,中融鑫起点混合C,中融融安混合二号,中融鑫思路混合A,中融鑫思路混合C,中融鑫价值混合A,中融鑫价值混合C,中融沪港深大消费主题A,中融沪港深大消费主题C,中融景源混合A,中融景源混合C",622,7.52,0.34
102,103,30579140,陈龙,80000250,华宝基金,"005728,010335,012799","华宝绿色主题混合A,华宝竞争优势混合,华宝绿色主题混合C",250,3.79,-28.4
103,104,30397260,陈良栋,80000239,长城基金,"000976,012793,015383,162006,506008","长城新兴产业混合,长城科创两年定开混合C,长城久富混合(LOF)C,长城久富混合(LOF)A,长城科创两年定开混合A",2356,23.99,112.8
104,105,30700110,曹璐迪,80000221,富国基金,"006748,007191,013313,013314,159713,159766,159971,512040,516120,588380","富国中证价值ETF联接A,富国中证价值ETF联接C,富国中证科创创业50ETF联接A,富国中证科创创业50ETF联接C,富国中证稀土产业ETF,富国中证旅游主题ETF,富国创业板ETF,富国中证价值ETF,富国中证细分化工产业主题ETF,富国中证科创创业50ETF",720,51.25,46.35
105,106,30301235,陈乐华,80452130,新沃基金,"002564,010570,010571,012143,012144","新沃通盈灵活配置混合,新沃创新领航混合A,新沃创新领航混合C,新沃内需增长混合A,新沃内需增长混合C",2246,1.33,56.12
106,107,30698887,陈林海,80000246,海富通基金,"008610,008611","海富通添鑫收益债券C,海富通添鑫收益债券A",376,0.47,-1.15
107,108,30713481,陈列江,80959746,尚正基金管理,"014615,014616","尚正正鑫混合发起A,尚正正鑫混合发起C",63,1.75,-0.17
108,109,30741447,蔡路平,80147736,西部利得基金,"012554,012555,159708,159814","西部利得创业板大盘ETF联接A,西部利得创业板大盘ETF联接C,西部利得深证红利ETF,西部利得创业板大盘ETF",272,6.01,-21.44
109,110,30458231,陈连权,80560392,博道基金,010404,博道盛利6个月持有期混合,630,1.29,-7.93
110,111,30064469,陈旻,80404011,申万宏源证券,970015,申万红利成长灵活配置混合,476,1.04,-16.02
111,112,30325634,蔡旻,80000239,长城基金,"007705,009436","长城恒康稳健养老一年(FOF),长城恒泰养老2040三年持有混合(FOF)",2626,1.15,-4.36
